#YYY/MM/DD HH:mm:SS.ss ET GT MAG  M    LAT       LON      DEPTH Q  EVID      NPH NGRM
1965/01/01 08:04:17.78 eq  l 4.46 l   34.12933 -117.50900   3.3 A  3330737   22    0
1965/04/15 20:08:33.45 eq  l 4.61 l   34.13450 -117.43600   6.0 C  3330616   23    0
1969/05/05 16:02:09.32 eq  l 4.30 l   34.31233 -117.55617   3.2 C  3327639   26    0
1970/09/12 14:10:11.23 eq  l 4.03 l   34.25833 -117.50117   7.5 B  3323896   28    0
1970/09/12 14:30:53.00 eq  l 5.22 l   34.25483 -117.53433  10.8 A  3323898   30    0
1970/09/13 04:47:48.83 eq  l 4.21 l   34.26017 -117.53833  12.2 C  3323910   26    0
1979/10/19 12:22:37.83 eq  l 4.07 l   34.20333 -117.52883   7.1 A  3352948   84   91
1983/01/08 07:19:30.49 eq  l 4.02 l   34.13300 -117.45300   6.8 A   503897  119  153
1985/10/02 23:44:12.45 eq  l 4.58 l   34.02300 -117.24500  14.7 A   107945  186  244
1988/06/26 15:04:58.48 eq  l 4.66 l   34.13600 -117.70900   6.6 A   136984  134  260
1989/02/18 07:17:04.85 eq  l 4.05 l   34.00600 -117.73800   2.7 A  1021313  145  269
1989/12/28 09:41:08.20 eq  l 4.23 l   34.19200 -117.38600  13.5 A   140477  145  271
1990/02/28 23:43:36.75 eq  l 5.51 l   34.14400 -117.69700   3.3 A  1053635  120  271
1990/03/01 00:34:57.15 eq  l 4.03 l   34.12700 -117.70100   3.2 A  1053648   83  233
1990/03/01 03:23:03.03 eq  l 4.72 l   34.15300 -117.72000  10.3 A   676027  158  269
1990/03/02 17:26:25.48 eq  l 4.47 l   34.14500 -117.69500   4.4 A  1053953  162  271
1990/04/17 22:32:27.29 eq  l 4.50 l   34.10600 -117.72200   2.9 A  1057313  113  277
1991/06/28 14:43:54.66 eq  l 5.80 w   34.27000 -117.99300   8.0 A  2021449  157  331
1991/06/28 17:00:55.56 eq  l 4.30 l   34.25300 -117.99200   8.3 A  2021473  120  308
1991/12/04 08:17:03.51 eq  l 4.09 l   34.17800 -117.02200   8.9 A  2036038  152  313
1994/04/06 19:01:04.06 eq  l 4.78 l   34.19200 -117.09500   5.7 A  3162132  190  412
1997/06/28 21:45:25.10 eq  l 4.18 l   34.16800 -117.33600   8.9 A  9014489  177  601
1998/03/11 12:18:51.83 eq  l 4.45 l   34.02400 -117.23000  14.4 A  3298292  193  867
1998/08/20 23:49:58.44 eq  l 4.40 l   34.37400 -117.64800   7.4 A  9064568  209  811
1999/10/16 09:59:38.00 eq  l 5.60 b   34.24000 -117.04000   6.0 Z 10180015    0  814
2000/02/21 13:49:43.13 eq  l 4.37 l   34.05000 -117.25250  15.1 A  9140050  157 1630
2005/01/06 14:35:27.68 eq  l 4.42 l   34.12383 -117.44483   6.1 A 14116972  359 1844
2005/06/16 20:53:26.02 eq  l 4.88 w   34.05800 -117.01133  10.6 A 14155260  326 1871
2007/10/16 08:53:44.12 eq  l 4.20 l   34.38533 -117.63467   6.4 A 10285533  336 1979
2009/01/09 03:49:46.27 eq  l 4.45 w   34.10733 -117.30417  13.8 A 10370141  342 1915
2010/02/13 21:39:06.60 eq  l 4.10 l   34.00450 -117.17967   8.0 A 10541957  191 2000
2014/01/15 09:35:18.87 eq  l 4.43 w   34.14300 -117.44250   2.9 A 11413954  270 2390
2014/07/05 16:59:34.09 eq  l 4.58 w   34.28233 -117.02667   7.2 A 15520985  616 2737
2015/12/30 01:48:57.31 eq  l 4.40 w   34.19100 -117.41317   7.0 A 37507576  306 2932
2018/08/29 02:33:28.33 eq  l 4.38 w   34.13633 -117.77467   5.5 A 38038071  400 3209
